sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,71750,0.8524448275566101,child,3647,0.1475551873445511,Theneighborchildchildchild,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3647,0.9651191234588623,guest,44547,0.03488088771700859,Thechildchildchildchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,71750,0.07978201657533646,child,3647,0.9202179908752441,Thechildneighborchildneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3647,0.9999997615814209,guest,44547,1.9068242806952185e-07,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,71750,0.9996738433837891,child,3647,0.0003261483507230878,Theneighborchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3647,0.9999836683273315,guest,44547,1.628270729270298e-05,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,71750,0.9999231100082397,child,3647,7.692087820032611e-05,Theneighborchildneighborchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3647,0.9999868869781494,guest,44547,1.3160451089788694e-05,Thechildchildchildchild,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,70978,0.5736784338951111,man,1066,0.4263215959072113,Theinvestigatormanman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1066,0.917302668094635,journalist,195676,0.08269733935594559,Themanjournalistmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,70978,0.01822929084300995,man,1066,0.9817706942558289,Themaninvestigatorinvestig,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1066,0.9993415474891663,journalist,195676,0.000658458040561527,Themanmanmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,70978,0.9980114698410034,man,1066,0.0019885008223354816,Theinvestigatormanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1066,0.815232515335083,journalist,195676,0.18476751446723938,Themanjournalistmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,70978,0.9990295171737671,man,1066,0.0009704617550596595,Theinvestigatormanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1066,0.9986586570739746,journalist,195676,0.0013412742409855127,Themanmanmanman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,69529,0.026861201971769333,thief,217818,0.9731387495994568,Thethiefthiefthiefthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,217818,0.8140527606010437,architect,106944,0.1859472095966339,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,69529,0.9999428987503052,thief,217818,5.713597420253791e-05,Themoverthiefthiefthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,217818,0.9999262094497681,architect,106944,7.382997864624485e-05,Thethiefthiefthiefthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,69529,0.9999380111694336,thief,217818,6.192942237248644e-05,Themoverthiefthiefmover,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,217818,0.9999779462814331,architect,106944,2.1996407667757012e-05,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,69529,0.999998927116394,thief,217818,1.1015954441973008e-06,Themoverthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,217818,0.9999862909317017,architect,106944,1.3657993804372381e-05,Thethiefthiefthiefthief,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,65044,0.026255300268530846,student,16134,0.9737446904182434,Thestudentstudentstudentstudent,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,16134,0.9979190230369568,director,43022,0.002080941805616021,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,65044,0.9972477555274963,student,16134,0.002752256579697132,Theproducerstudentstudentstudent,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,16134,0.9999805688858032,director,43022,1.9487788449623622e-05,Thestudentstudentstudentstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,65044,0.9998769760131836,student,16134,0.00012303364928811789,Theproducerstudentstudentstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,16134,0.9996858835220337,director,43022,0.0003141173510812223,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,65044,0.9999954700469971,student,16134,4.565970357361948e-06,Theproducerproducerproducerproducer,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,16134,0.9999057054519653,director,43022,9.424379823030904e-05,Thestudentstudentstudentstudent,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,105776,0.027169233188033104,technician,72400,0.9728307723999023,Thetechnicianassistanttechnic,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,72400,0.41111084818840027,ambassador,1944,0.5888891220092773,Theambassadortechnician,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,105776,1.1750976227631327e-05,technician,72400,0.9999881982803345,Thetechnicianianian,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,72400,0.9997929930686951,ambassador,1944,0.00020703372138086706,Thetechnicianianian,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,105776,0.9983912110328674,technician,72400,0.0016087881522253156,Theassistantassistantassistantassistant,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,72400,0.99952232837677,ambassador,1944,0.0004777256981469691,Thetechnicianianian,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,105776,0.9996111989021301,technician,72400,0.0003888022620230913,Theassistantassistantassistantassistant,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the assistant find?,5,first_center_sim_rev,The technician,technician,72400,0.9999877214431763,ambassador,1944,1.2314911145949736e-05,Thetechnicianianian,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,6,second_center_com,The broadcaster,broadcaster,39214,0.5428633093833923,model,2516,0.45713675022125244,Thebroadcastermodelmodel,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,6,first_center_com,The model,model,2516,0.7994422912597656,waiter,183126,0.200557678937912,Themodelmodelmodelmodel,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,6,second_center_mid,The broadcaster,broadcaster,39214,0.9740919470787048,model,2516,0.02590801939368248,Thebroadcastermodelmodel,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,6,first_center_mid,The model,model,2516,0.9235923886299133,waiter,183126,0.07640768587589264,Themodelmodelmodelmodel,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the waiter slander?,6,second_center_sim,The broadcaster,broadcaster,39214,0.9991440773010254,model,2516,0.0008559006382711232,Thebroadcastermodelmodel,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the broadcaster recognize?,6,first_center_sim,The model,model,2516,0.9690324664115906,waiter,183126,0.03096751682460308,Themodelmodelmodelmodel,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the waiter slander?,6,second_center_sim_rev,The broadcaster,broadcaster,39214,0.9954836368560791,model,2516,0.004516425542533398,Thebroadcastermodelmodel,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the broadcaster recognize?,6,first_center_sim_rev,The model,model,2516,0.9998903274536133,waiter,183126,0.0001096437918022275,Themodelmodelmodelmodel,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the seller annoy?,7,second_center_com,The student,student,16134,0.025371313095092773,tourist,162042,0.974628746509552,Thetouriststudentstudenttourist,False
