sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,37569,0.8221890926361084,child,3124,0.17781086266040802,Theneighborchildchildchild,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3124,0.879974365234375,guest,31277,0.1200256273150444,Thechildchildchildchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,37569,0.6959583163261414,child,3124,0.30404165387153625,Theneighborchildchildneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3124,0.7549149990081787,guest,31277,0.24508501589298248,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,37569,0.8449215292930603,child,3124,0.1550784707069397,Theneighborchildneighborchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3124,0.6893056035041809,guest,31277,0.3106943964958191,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,37569,0.8354835510253906,child,3124,0.16451644897460938,Theneighborchildneighborchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3124,0.8723474144935608,guest,31277,0.1276526302099228,Thechildchildchildchild,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,43114,0.29421496391296387,man,1543,0.7057850360870361,Themanmanmanman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1543,0.3720487952232361,journalist,43618,0.6279512047767639,Thejournalistmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,43114,0.28776782751083374,man,1543,0.7122321724891663,Themanmanmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1543,0.22953520715236664,journalist,43618,0.7704647779464722,Thejournalistmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,43114,0.43782350420951843,man,1543,0.562176525592804,Themaninvestigatorman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1543,0.36296921968460083,journalist,43618,0.637030839920044,Thejournalistmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,43114,0.47073662281036377,man,1543,0.5292633771896362,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1543,0.3225260078907013,journalist,43618,0.6774740219116211,Thejournalistmanman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,76,0.590779185295105,thief,339,0.40922078490257263,Themoverthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,339,0.15304216742515564,architect,1132,0.8469578623771667,Thearchitectthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,76,0.5660185217857361,thief,339,0.4339814782142639,Themoverthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,339,0.10894504189491272,architect,1132,0.8910549879074097,Thearchitectthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,76,0.3942009508609772,thief,339,0.6057990789413452,Thethiefmover,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,339,0.18242551386356354,architect,1132,0.8175744414329529,Thearchitectthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,76,0.5660185217857361,thief,339,0.4339814782142639,Themoverthief,False
