sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,12307,0.24798743426799774,child,2278,0.7520125508308411,The child neighbor child child,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,2278,0.9683812260627747,guest,17838,0.031618766486644745,The child guest child guest,True
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,12307,0.3208213150501251,child,2278,0.6791787147521973,The child child child child,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,2278,0.997368335723877,guest,17838,0.0026316740550100803,The child child child child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,12307,0.581303060054779,child,2278,0.41869691014289856,The neighbor child neighbor child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,2278,0.9996199607849121,guest,17838,0.0003799845289904624,The child child child child,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,12307,0.9273632764816284,child,2278,0.07263670116662979,The neighbor child child child,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,2278,0.9999110698699951,guest,17838,8.888084994396195e-05,The child child child child,True
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,7405,0.8774768114089966,man,767,0.12252321094274521,The investigator investigator,True
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,767,0.9822876453399658,journalist,24452,0.017712296918034554,The man journalist journalist journalist,True
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,7405,0.5156199336051941,man,767,0.4843800961971283,The investigator investigator,True
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,767,0.9678993225097656,journalist,24452,0.03210070729255676,The man journalist journalist journalist,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,7405,0.8397339582443237,man,767,0.16026602685451508,The investigator investigator,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,767,0.9783847332000732,journalist,24452,0.02161533385515213,The man man man man,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,7405,0.8289388418197632,man,767,0.1710611879825592,The investigator investigator,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,767,0.9793540239334106,journalist,24452,0.020645931363105774,The man man man man,True
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,286,0.6791787147521973,thief,266,0.3208213150501251,The mover thief,True
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,266,0.9362850189208984,architect,6956,0.06371499598026276,The thief architect th,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,286,0.8244618773460388,thief,266,0.1755380630493164,The mover thief,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,266,0.9724147915840149,architect,6956,0.027585284784436226,The thief thief,True
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,286,0.3557748794555664,thief,266,0.6442251205444336,The thief mover,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,266,0.9999397993087769,architect,6956,6.014151585986838e-05,The thief thief,True
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,286,0.9086179733276367,thief,266,0.09138210862874985,The mover thief,True
